id|course_id|grade
14|8|14.25
14|8|12.75
14|8|9.5
14|8|6.25
14|8|10.75
14|8|8.5
14|8|11.25
14|8|11.5
14|8|10.5
14|4|11
14|4|9
14|4|11.75
14|4|8
14|3|5
14|3|9
14|3|5
14|3|11.5
14|3|9
14|3|9
14|7|5
14|7|5.5
14|7|5.5
14|7|5.5
14|7|5.5
14|7|4.5
14|7|8.5
14|7|11.5
14|9|12
14|9|13.4
14|9|_
14|9|14.9
14|9|10.5
14|5|10.25
14|5|18.25
14|5|16
14|5|16
14|5|9
14|5|11.25
14|5|9.25
14|5|11
14|5|17.5
14|5|11.5
14|10|11.6
14|10|15.8
14|10|16.5
14|10|20
14|10|14
14|10|15.5
14|10|17.4
14|10|18.3
14|10|15.4
14|10|18.2
14|6|11.25
14|6|13
14|6|9.75
14|6|9.5
14|6|12
14|6|11.25
14|6|9.25
14|6|8
14|6|11
14|6|10.5
14|1|9
14|1|7
14|1|10.75
14|1|8
14|1|8
14|2|5
14|2|5.25
14|2|15
14|2|9
14|2|5.25
22|8|10.75
22|8|12.75
22|8|11
22|8|9.25
22|8|10.75
22|8|12.5
22|8|7.5
22|8|7.5
22|8|6.5
22|4|12.25
22|4|8.5
22|4|10.5
22|4|6.5
22|3|12.5
22|3|12
22|3|9.5
22|3|7.5
22|3|4.5
22|7|13
22|7|7
22|7|7.5
22|7|9.5
22|7|6.5
22|7|10.5
22|7|10.5
22|7|6.5
22|9|10.2
22|9|16.1
22|9|15.8
22|9|14.8
22|9|15.1
22|5|10.75
22|5|16.75
22|5|15.25
22|5|14.25
22|5|16
22|5|13.75
22|5|12
22|5|10
22|5|12
22|10|20
22|10|16.8
22|10|16.4
22|10|10.6
22|10|17
22|10|14.1
22|10|13.5
22|10|19
22|10|15.4
22|10|14
22|6|11.25
22|6|14.25
22|6|14
22|6|11
22|6|9.75
22|6|11.75
22|6|15.5
22|6|8.5
22|6|7.5
22|6|10.5
22|1|8.75
22|1|9.25
22|1|10
22|1|6.75
22|1|8.75
22|2|12
22|2|3.75
22|2|8.75
22|2|10
22|2|6.5
26|8|11.75
26|8|10.25
26|8|11
26|8|11.75
26|8|7.25
26|8|5.5
26|8|14.25
26|8|5.5
26|8|6
26|4|9.75
26|4|10.25
26|4|8.75
26|4|9.75
26|3|15
26|3|12
26|3|10.5
26|3|8.5
26|3|9
26|3|15.5
26|7|4.5
26|7|10.5
26|7|11.5
26|7|5
26|7|8.5
26|7|6.5
26|7|9
26|9|15.7
26|9|14.3
26|9|10.7
26|9|18.9
26|9|15.6
26|5|9.25
26|5|13.5
26|5|10
26|5|14.75
26|5|17.25
26|5|15.25
26|5|_
26|5|11.25
26|5|14.25
26|10|14.7
26|10|9.8
26|10|20
26|10|13.5
26|10|14.3
26|10|13.7
26|10|10.4
26|10|16
26|10|20
26|10|20
26|6|11
26|6|8
26|6|10.75
26|6|14.25
26|6|10
26|6|9.5
26|6|8.75
26|6|11.75
26|6|12.25
26|6|9.25
26|1|8.25
26|1|8.25
26|1|6.75
26|1|9.25
26|2|6.5
26|2|9.5
26|2|8.75
26|2|7
26|2|8
50|8|10.5
50|8|9
50|8|10.25
50|8|11
50|8|9
50|8|8.25
50|8|13.5
50|8|8.5
50|8|8.25
50|4|6.75
50|4|14.25
50|4|7.75
50|4|9.75
50|3|10
50|3|9
50|3|10
50|3|9.5
50|3|11
50|3|10.5
50|7|6.5
50|7|14
50|7|9.5
50|7|7.5
50|7|10
50|7|6
50|7|9.5
50|7|8.5
50|9|16.7
50|9|13.2
50|9|_
50|9|15.4
50|9|14.2
50|5|13
50|5|_
50|5|11
50|5|17.25
50|5|15.25
50|5|13.75
50|5|12.5
50|5|16
50|5|14
50|5|14.25
50|10|11.8
50|10|20
50|10|17.6
50|10|17.3
50|10|17.5
50|10|9.4
50|10|11.8
50|10|18.5
50|10|20
50|10|16.7
50|6|14.75
50|6|9.5
50|6|10
50|6|9.75
50|6|11
50|6|11.5
50|6|14
